wick_threshold,horizon_candles,target_return,payoff_ratio_min,payoff_expected_min,baseline_expectancy,baseline_max_dd,execution_expectancy,execution_max_dd,execution_trades,blocked_edge_total,blocked_by_regime_rule_total,blocked_by_payoff_total
0.7,12,0.009,1.2,0.0002,-8.589869765343853e-05,-0.6604094944221618,-0.001052232491453035,-0.3034446390661777,323,0,0,813
0.7,12,0.009,1.0,0.0,-8.589869765343853e-05,-0.6604094944221618,-0.0010612063498819937,-0.40595969140084964,461,0,3,544
0.7,3,0.009,1.2,0.0005,-0.0003139419936348404,-0.5655078201759318,-0.0010868766454604438,-0.3374371809051194,368,0,0,884
0.7,3,0.009,1.0,-0.0002,-0.0003139419936348404,-0.5655078201759318,-0.0011104033700154738,-0.4855931622469052,575,0,4,558
0.5,12,0.009,1.2,0.0005,-0.0007275531247703579,-0.9330968031406038,-0.0011252805564126588,-0.5074126813443245,575,0,0,1209
0.5,12,0.009,1.0,-0.0002,-0.0007275531247703579,-0.9330968031406038,-0.001145467834413368,-0.6237610580386199,797,0,4,704
0.7,3,0.009,1.2,0.0002,-0.0003139419936348404,-0.5655078201759318,-0.0011524310020513122,-0.35552911023065137,371,0,0,880
0.7,3,0.009,1.2,-0.0002,-0.0003139419936348404,-0.5655078201759318,-0.0011655126957467682,-0.35940806519246504,372,0,0,879
0.7,3,0.009,1.2,0.0,-0.0003139419936348404,-0.5655078201759318,-0.0011655126957467682,-0.35940806519246504,372,0,0,879
0.5,12,0.009,1.3,0.0002,-0.0007275531247703579,-0.9330968031406038,-0.0012054709192145354,-0.41990984911289553,406,0,0,1599
0.5,12,0.009,1.3,0.0005,-0.0007275531247703579,-0.9330968031406038,-0.0012054709192145358,-0.41990984911289564,406,0,0,1601
0.5,12,0.009,1.2,0.0,-0.0007275531247703579,-0.9330968031406038,-0.0012167098069875227,-0.5355379385776928,580,0,0,1193
0.5,12,0.009,1.2,-0.0002,-0.0007275531247703579,-0.9330968031406038,-0.001217645534640614,-0.5357907323445639,580,0,0,1190
0.5,12,0.009,1.3,-0.0002,-0.0007275531247703579,-0.9330968031406038,-0.0012188396799713828,-0.42303405638767544,406,0,0,1597
0.5,12,0.009,1.3,0.0,-0.0007275531247703579,-0.9330968031406038,-0.0012188396799713828,-0.42303405638767544,406,0,0,1597
0.5,12,0.009,1.2,0.0002,-0.0007275531247703579,-0.9330968031406038,-0.0012251103596482883,-0.5366602522376861,578,0,0,1197
0.7,12,0.009,1.0,0.0002,-8.589869765343853e-05,-0.6604094944221618,-0.001233654812785061,-0.4206694913355482,424,0,2,600
0.7,12,0.009,1.1,-0.0002,-8.589869765343853e-05,-0.6604094944221618,-0.0012654193347016098,-0.41663930675230976,411,0,2,628
0.7,12,0.009,1.1,0.0,-8.589869765343853e-05,-0.6604094944221618,-0.0012758926701039312,-0.41181937438145566,409,0,2,637
0.7,3,0.009,1.0,0.0,-0.0003139419936348404,-0.5655078201759318,-0.00129388517129125,-0.5180568566556295,545,0,3,602
0.5,12,0.009,1.0,0.0,-0.0007275531247703579,-0.9330968031406038,-0.0013230168727086738,-0.6598906163676389,767,0,3,781
0.5,3,0.009,1.0,-0.0002,-0.0006507467959548387,-0.8709558192167728,-0.001325601312687137,-0.7653766232393424,1072,0,4,825
0.7,3,0.009,1.1,0.0005,-0.0003139419936348404,-0.5655078201759318,-0.0013286702870864676,-0.45844869400388943,453,0,2,741
0.7,12,0.009,1.1,0.0002,-8.589869765343853e-05,-0.6604094944221618,-0.0013376194837322576,-0.41656452114105724,400,0,2,649
