wick_threshold,horizon_candles,target_return,baseline_expectancy,baseline_max_dd,execution_expectancy,execution_max_dd,execution_trades,blocked_edge_total,blocked_by_regime_rule_total
0.7,2,0.009,-0.0008607467714389862,-0.9588615334783254,-0.0013682789041744605,-0.9614859629097913,2292,0,12
0.7,8,0.009,-0.0003053811957409482,-0.862828813305716,-0.0013787688407770804,-0.9318016774947439,1848,0,9
0.5,4,0.009,-0.0007052566353667035,-0.9952049944850098,-0.0013805219816215642,-0.993641428401945,3551,0,10
0.8,8,0.006,-0.00041388412645362816,-0.8688066308737864,-0.001382668145917737,-0.8920956688523769,1579,0,11
0.8,6,0.006,-0.0005048698476550111,-0.8547805017116832,-0.001387403131458121,-0.8971669231163395,1608,0,11
0.4,2,0.006,-0.00082893685823343,-0.9996120227060187,-0.001391469920584371,-0.9996236530685706,5615,0,6
0.4,8,0.006,-0.0005184662672080194,-0.9984433269429339,-0.0013968168603693445,-0.9977935155286161,4300,0,5
0.7,6,0.009,-0.0004373335499515554,-0.8749245129404919,-0.001400608998087989,-0.9401650772817908,1922,0,9
0.5,2,0.009,-0.0008838597006555211,-0.9974840331873371,-0.0014089186330263864,-0.9978989523912001,4267,0,11
0.6,2,0.012,-0.0008959481569825871,-0.9865924778309214,-0.001414537733992258,-0.9900710059348261,3157,0,11
0.5,12,0.009,-0.000530021082718944,-0.9947176763690074,-0.0014233675112314073,-0.9847426838091943,2775,0,9
0.4,6,0.006,-0.0006231503555882755,-0.9990296742770112,-0.0014349990623666181,-0.9985728072339599,4479,0,6
0.4,4,0.006,-0.0006689736161169075,-0.9991121991546925,-0.0014370336818882359,-0.9991125807974346,4828,0,7
0.7,4,0.006,-0.0005876662978635587,-0.9292499470815838,-0.001437045450051182,-0.9582488955182129,2178,0,11
0.6,4,0.009,-0.0007354856324190287,-0.9805783546573607,-0.001437125599772382,-0.9837315792500093,2768,0,10
0.8,3,0.006,-0.0007628272742822831,-0.914830434607188,-0.00143882882505311,-0.9157131350104157,1698,0,12
0.4,12,0.006,-0.0003600582686133878,-0.9976408007917721,-0.0014404896410763251,-0.9976656063330649,4127,0,5
0.6,4,0.012,-0.0007354856324190287,-0.9805783546573607,-0.0014502217842599428,-0.9816442007771982,2647,0,10
0.6,6,0.012,-0.0006395133956883641,-0.9710589847201081,-0.001451628745659731,-0.9732235006972292,2373,0,10
0.5,6,0.009,-0.0006715296079783025,-0.9949798295208166,-0.001452320779271091,-0.9921327354074868,3199,0,9
0.5,3,0.009,-0.0008231951611278769,-0.9971089417408255,-0.001460860605223098,-0.9968414060968832,3840,0,10
0.6,8,0.012,-0.0004926386562116664,-0.9483860523508203,-0.0014623715232251681,-0.9666233562950213,2184,0,10
0.7,6,0.006,-0.0004373335499515554,-0.8749245129404919,-0.0014631755803479096,-0.9566522359969565,2108,0,10
0.6,2,0.009,-0.0008959481569825871,-0.9865924778309214,-0.0014643283893868708,-0.9918621989349438,3202,0,11
0.7,8,0.006,-0.0003053811957409482,-0.862828813305716,-0.0014664485328865974,-0.9542568840133867,2062,0,10
0.7,12,0.006,-0.00034238810670738154,-0.9143677123946395,-0.00146682693042386,-0.9514536992090346,2021,0,10
0.4,3,0.006,-0.0007760680509992349,-0.9995269284320073,-0.0014676933795369955,-0.9994929828597547,5117,0,6
0.5,2,0.006,-0.0008838597006555211,-0.9974840331873371,-0.001469413192446061,-0.9984790380199277,4379,0,11
0.6,3,0.009,-0.0008343817720458142,-0.9845105922705539,-0.0014707297894855015,-0.9881997933261154,2939,0,10
0.7,3,0.006,-0.0007513815506277635,-0.948312813598837,-0.0014856259586999445,-0.9657704694101209,2246,0,11
0.5,8,0.006,-0.0005908110450728627,-0.9936508873107032,-0.001502926058618883,-0.9953992034502248,3525,0,9
